date,phase
2024-05-22,99.55281829833984
2024-05-23,99.68991088867188
2024-05-24,97.67035675048828
2024-05-25,93.46344757080078
2024-05-26,87.15684509277344
2024-05-27,78.9649658203125
2024-05-28,69.2259292602539
2024-05-29,58.389347076416016
2024-05-30,46.9974479675293
2024-05-31,35.65969467163086
2024-06-01,25.01813507080078
2024-06-02,15.700210571289062
2024-06-03,8.259666442871094
2024-06-04,3.114489793777466
2024-06-05,0.4979991912841797
2024-06-06,0.4396522641181946
2024-06-07,2.782809019088745
2024-06-08,7.232540607452393
2024-06-09,13.416333198547363
2024-06-10,20.939546585083008
2024-06-11,29.423999786376953
2024-06-12,38.52653503417969
2024-06-13,47.94042205810547
2024-06-14,57.385196685791016
2024-06-15,66.59046173095703
2024-06-16,75.27874755859375
2024-06-17,83.15164947509766
